0.005,79.5
0.01,56.1
0.015,53.4
0.02,53.8
0.025,54.0
0.03,53.5
0.035,53.9
0.04,53.9
0.045,55.3
0.05,53.6
0.055,53.3
0.06,53.7
0.065,53.7
0.07,53.4
0.075,53.4
0.08,53.7
0.085,53.7
0.09,54.0
0.095,53.6
0.1,53.6
0.105,53.3
0.11,53.8
0.115,53.4
0.12,53.2
0.125,53.9
0.13,53.7
0.135,53.4
0.14,53.4
0.145,53.7
0.15,53.5
0.155,54.0
0.16,53.5
0.165,53.3
0.17,53.5
0.175,54.5
0.18,53.7
0.185,53.5
0.19,53.5
0.195,53.7
0.2,53.8
0.205,53.3
0.21,53.2
0.215,53.5
0.22,54.3
0.225,54.1
0.23,53.5
0.235,53.7
0.24,53.7
0.245,53.8
0.25,54.4
